temp,time_hours_interp,hanliang_log10,数据类型
4,305.41666666666663,4.467852816981492,原始实测
4,305.5,4.468972433231945,原始实测
4,305.5833333333333,4.470092049482398,原始实测
4,305.66666666666663,4.471211665732851,原始实测
4,305.75,4.472331281983305,原始实测
4,305.8333333333333,4.473450898233757,原始实测
4,305.91666666666663,4.474570514484211,原始实测
4,306,4.475690130734664,原始实测
4,306.0833333333333,4.476809746985117,原始实测
4,306.16666666666663,4.477929363235569,原始实测
4,306.25,4.479048979486024,原始实测
4,306.3333333333333,4.480168595736476,原始实测
4,306.41666666666663,4.481288211986929,原始实测
4,306.5,4.482407828237383,原始实测
4,306.5833333333333,4.483527444487836,原始实测
4,306.66666666666663,4.484647060738288,原始实测
4,306.75,4.485766676988741,原始实测
4,306.8333333333333,4.486886293239195,原始实测
4,306.91666666666663,4.488005909489647,原始实测
4,307,4.489125525740101,原始实测
4,307.0833333333333,4.490245141990554,原始实测
4,307.16666666666663,4.491364758241007,原始实测
4,307.25,4.49248437449146,原始实测
4,307.3333333333333,4.493603990741914,原始实测
4,307.41666666666663,4.494723606992366,原始实测
4,307.5,4.49584322324282,原始实测
4,307.5833333333333,4.496962839493272,原始实测
4,307.66666666666663,4.498082455743726,原始实测
4,307.75,4.499202071994179,原始实测
4,307.8333333333333,4.500321688244632,原始实测
4,307.91666666666663,4.501441304495085,原始实测
4,308,4.502560920745538,原始实测
4,308.0833333333333,4.503680536995991,原始实测
4,308.16666666666663,4.504800153246444,原始实测
4,308.25,4.505919769496898,原始实测
4,308.3333333333333,4.50703938574735,原始实测
4,308.41666666666663,4.508159001997803,原始实测
4,308.5,4.509278618248257,原始实测
4,308.5833333333333,4.51039823449871,原始实测
4,308.66666666666663,4.511517850749162,原始实测
4,308.75,4.5126374669996165,原始实测
4,308.8333333333333,4.513757083250069,原始实测
4,308.91666666666663,4.514876699500522,原始实测
4,309,4.515996315750975,原始实测
4,309.0833333333333,4.5171159320014285,原始实测
4,309.16666666666663,4.518235548251881,原始实测
4,309.25,4.519355164502334,原始实测
4,309.3333333333333,4.520474780752788,原始实测
4,309.41666666666663,4.52159439700324,原始实测
4,309.5,4.522714013253694,原始实测
4,309.5833333333333,4.523833629504146,原始实测
4,309.66666666666663,4.5249532457546,原始实测
4,309.75,4.526072862005053,原始实测
4,309.8333333333333,4.527192478255506,原始实测
4,309.91666666666663,4.528312094505959,原始实测
